Journal Profile: IEEE ENGINEERING IN MEDICINE AND BIOLOGY MAGAZINE,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile
2012,"1,508",2.727,-0.424,1.526,Not Available,0,>10.0,6.8,0.00844,2.290,Not Available,Not Available,82.58100
2011,"1,807",2.057,2.057,2.886,Not Available,0,7.3,Not Available,0.00521,1.049,Not Available,Not Available,68.94600
2010,"1,602",2.844,2.819,2.057,0.273,33,7.6,6.5,0.00357,0.616,96.97,Not Available,85.39000
2009,"1,682",1.081,1.056,1.573,0.200,55,8.2,6.4,0.00273,0.438,90.91,Not Available,28.59200
2008,"1,684",1.466,1.215,1.994,0.507,67,7.4,6.4,0.00371,0.532,98.51,Not Available,40.57700
2007,"1,100",1.066,1.033,1.433,0.268,56,6.6,6.6,0.00425,0.545,100.00,Not Available,32.95500
2006,"1,095",0.940,0.914,Not Available,0.067,60,6.8,6.6,Not Available,Not Available,96.67,Not Available,26.25000
2005,895,1.232,1.217,Not Available,0.131,61,6.5,7.0,Not Available,Not Available,100.00,Not Available,47.73000
2004,"1,082",1.278,1.126,Not Available,0.125,56,6.0,4.9,Not Available,Not Available,87.50,Not Available,56.74600
2003,701,0.649,0.608,Not Available,0.270,74,6.6,6.1,Not Available,Not Available,100.00,Not Available,24.34200
2002,778,0.968,0.929,Not Available,0.136,59,5.4,7.5,Not Available,Not Available,98.31,Not Available,46.87500
2001,639,0.614,0.601,Not Available,0.264,72,5.4,7.0,Not Available,Not Available,100.00,Not Available,25.96200
2000,552,0.856,0.791,Not Available,0.048,84,4.7,7.6,Not Available,Not Available,98.81,Not Available,42.34000
1999,494,0.784,0.712,Not Available,0.130,69,4.2,6.6,Not Available,Not Available,98.55,Not Available,41.55400
1998,370,0.786,0.641,Not Available,0.100,70,3.7,6.9,Not Available,Not Available,97.14,Not Available,46.52800
1997,301,0.677,0.598,Not Available,0.290,69,3.3,6.4,Not Available,Not Available,Not Available,Not Available,42.49000
Copyright Â© 2018 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
