Cited Journal Data: IEEE T BIO-MED ENG,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest
1,,ALL Journals,21496,288,989,1391,1413,1509,1491,1418,1210,884,919,9984
2,,ALL OTHERS (1125),1125,15,39,70,55,83,71,68,60,29,46,589
3,4.288,IEEE T BIO-MED ENG,610,10,35,62,62,49,39,46,37,23,22,225
4,,P ANN INT IEEE EMBS,495,6,38,36,45,32,30,23,26,21,17,221
5,2.475,SENSORS-BASEL,486,10,29,37,24,39,37,44,23,18,20,205
6,2.766,PLOS ONE,439,1,28,34,29,14,30,35,31,23,16,198
7,3.972,IEEE T NEUR SYS REH,435,4,5,15,28,31,46,32,20,24,20,210
8,4.122,SCI REP-UK,392,7,26,31,22,17,22,24,15,25,11,192
9,2.783,BIOMED SIGNAL PROCES,389,0,11,20,23,27,22,31,26,23,22,184
10,,PROC SPIE,350,4,31,19,40,28,25,34,29,15,16,109
11,3.920,J NEURAL ENG,297,4,12,17,18,17,21,23,5,17,11,152
12,2.115,COMPUT BIOL MED,264,4,11,15,12,29,18,11,18,8,14,124
13,3.850,IEEE J BIOMED HEALTH,239,0,7,24,28,21,16,14,26,10,12,81
14,2.006,PHYSIOL MEAS,234,2,20,15,11,8,16,9,7,3,7,136
15,2.617,IEEE SENS J,221,4,17,19,17,19,25,13,16,5,10,76
16,3.877,FRONT NEUROSCI-SWITZ,213,3,11,13,18,11,7,23,4,9,6,108
17,3.557,IEEE ACCESS,207,5,11,15,17,25,17,13,6,6,3,89
18,1.971,MED BIOL ENG COMPUT,187,0,1,9,9,9,14,13,10,13,8,101
19,2.674,COMPUT METH PROG BIO,169,2,3,8,8,12,14,11,8,12,9,82
20,5.426,NEUROIMAGE,151,0,3,8,11,6,3,3,5,4,5,103
21,3.241,NEUROCOMPUTING,145,0,9,8,12,10,16,18,16,11,6,39
22,2.884,MED PHYS,143,3,6,22,21,6,15,7,13,4,5,41
23,3.500,IEEE T BIOMED CIRC S,133,3,3,15,7,11,11,17,2,2,4,58
24,6.131,IEEE T MED IMAGING,124,3,8,12,18,12,10,6,14,6,4,31
25,2.305,ENTROPY-SWITZ,117,7,11,3,4,1,7,4,8,11,7,54
26,2.431,J BIOMECH,108,0,6,2,8,13,4,3,4,4,1,63
27,1.961,INT J COMPUT ASS RAD,107,2,6,13,21,18,9,8,9,3,2,16
28,2.665,PHYS MED BIOL,107,2,9,8,7,4,5,7,8,2,5,50
29,1.923,MED ENG PHYS,106,0,5,3,5,7,4,4,4,2,8,64
30,1.676,BIOMED ENG ONLINE,105,1,2,6,8,11,2,4,3,3,2,63
31,5.356,MED IMAGE ANAL,101,3,3,9,19,14,7,7,15,6,2,16
32,,INT C ACOUST SPEE,100,0,5,6,8,5,10,15,5,4,0,42
33,2.583,BIOMED RES INT,87,4,5,5,5,5,8,8,4,5,8,30
34,3.865,J NEUROENG REHABIL,87,1,6,4,1,9,10,4,4,3,4,41
35,2.871,FRONT HUM NEUROSCI,85,3,2,3,7,9,3,1,7,2,4,44
36,,IEEE SYS MAN CYBERN,84,1,5,5,5,6,3,8,8,7,5,31
37,3.405,ANN BIOMED ENG,81,1,5,6,7,11,0,6,4,2,3,36
38,2.794,IEEE T INSTRUM MEAS,80,2,3,6,7,13,8,7,3,2,2,27
39,3.394,FRONT PHYSIOL,79,2,8,6,1,3,3,6,3,4,3,40
40,3.440,INT J HYPERTHER,79,0,1,7,5,0,3,7,3,2,0,51
41,4.580,INT J NEURAL SYST,79,0,2,1,1,1,3,2,2,3,11,53
42,0.549,J MED IMAG HEALTH IN,76,1,5,3,4,6,6,1,8,1,4,37
43,1.374,BIOCYBERN BIOMED ENG,72,1,0,2,0,6,9,7,5,2,9,31
44,2.367,J BIOMED OPT,72,1,3,4,7,4,6,8,7,4,6,22
45,1.689,APPL SCI-BASEL,71,2,1,3,5,2,5,3,6,4,5,35
46,3.482,BIOMED OPT EXPRESS,71,3,5,9,5,3,5,10,7,4,3,17
47,3.176,IEEE T MICROW THEORY,67,0,0,15,6,2,8,3,2,1,4,26
48,,IFAC PAPERSONLINE,66,2,1,6,6,7,7,2,5,1,6,23
49,,PROC EUR CONF ANTENN,65,0,4,14,6,3,1,10,3,0,5,19
50,3.768,EXPERT SYST APPL,64,0,3,8,4,0,4,8,4,5,3,25
51,2.098,J MED SYST,64,2,1,6,3,4,5,7,0,2,3,31
52,4.082,MAGN RESON MED,64,0,4,0,6,14,3,0,0,1,0,36
53,1.211,J MED BIOL ENG,63,0,1,3,4,3,4,5,2,1,2,38
54,4.130,IEEE T ANTENN PROPAG,61,1,2,8,3,1,4,8,2,2,5,25
55,0.875,J MECH MED BIOL,59,0,1,4,3,2,6,4,1,1,2,35
56,,BIOMED RES-INDIA,58,0,1,2,3,1,5,5,2,1,6,32
57,2.273,GAIT POSTURE,58,0,1,2,2,2,3,0,1,0,0,47
58,1.472,INT J MED ROBOT COMP,58,0,3,1,10,20,3,3,1,5,1,11
59,2.668,J NEUROSCI METH,58,0,3,4,0,3,2,5,3,6,3,29
60,,J MED IMAGING,55,2,1,3,9,4,3,11,8,2,1,11
61,,AIP C PROC,54,0,3,1,3,5,6,1,15,0,1,19
62,2.606,FRONT NEUROROBOTICS,54,1,2,6,7,6,4,5,4,3,0,16
63,,P 10 INT JOINT CXB,53,0,4,7,4,5,3,3,3,0,1,23
64,2.415,CHAOS,52,2,0,2,5,1,3,3,2,3,0,31
65,4.203,IEEE T SIGNAL PROCES,52,0,2,2,3,2,3,4,0,2,1,33
66,,ADV INTELL SYST,51,0,1,2,1,7,3,1,3,6,1,26
67,1.032,AUSTRALAS PHYS ENG S,51,1,0,0,2,4,2,2,1,2,3,34
68,1.974,COMPUT METHOD BIOMEC,51,0,0,0,2,3,2,1,2,0,1,40
69,2.338,INT J NUMER METH BIO,51,0,0,10,2,0,10,4,2,1,3,19
70,3.936,IEEE-ASME T MECH,50,1,4,5,0,9,8,3,4,3,1,12
71,1.261,J HEALTHC ENG,50,1,3,3,4,2,5,5,7,2,2,16
72,2.502,J NEUROPHYSIOL,50,1,1,5,3,3,2,2,2,1,1,29
73,2.645,ULTRASOUND MED BIOL,50,1,3,3,1,4,1,3,5,1,2,26
74,7.050,IEEE T IND ELECTRON,49,1,1,5,5,6,6,1,2,0,6,16
75,,2017 IEEE 14 INT SXB,48,2,6,10,8,3,7,4,3,2,1,2
76,1.545,COMPUT MATH METHOD M,47,1,1,2,1,2,3,5,2,4,3,23
77,2.073,FRONT COMPUT NEUROSC,47,2,4,0,1,3,2,3,3,0,3,26
78,3.508,FRONT NEUROL,47,1,3,3,2,1,4,1,6,1,1,24
79,9.107,P IEEE,47,0,1,4,3,2,0,0,0,1,1,35
80,,2017 IEEE EMBS INTXB,46,0,5,4,4,4,4,4,1,0,3,17
81,3.614,CLIN NEUROPHYSIOL,46,1,1,1,2,4,0,3,1,0,0,33
82,,SIG PROCESS COMMUN,45,0,3,5,1,2,3,3,1,3,2,22
83,,IEEE INT ULTRA SYM,44,2,5,2,1,4,4,3,6,0,5,12
84,,2017 IEEE INT CXB,43,0,2,2,6,3,4,2,0,11,2,11
85,1.754,IEEE J TRANSL ENG HE,43,3,4,3,5,3,2,4,1,2,1,15
86,2.218,MEASUREMENT,43,0,0,2,1,1,4,3,2,4,3,23
87,1.541,MULTIMED TOOLS APPL,43,0,5,1,6,4,8,3,2,0,2,12
88,,IEEE ROBOT AUTOM LET,42,2,4,4,3,11,3,2,1,2,1,9
89,2.616,CONTROL ENG PRACT,41,1,0,0,4,3,2,1,4,3,2,21
90,,BIOMED PHYS ENG EXPR,40,0,0,1,1,2,0,4,1,1,4,26
91,,EUR SIGNAL PR CONF,40,2,3,3,3,3,3,2,5,0,0,16
92,,BIOSYST BIOROBOT,39,0,6,1,3,3,4,4,0,3,2,13
93,2.563,IEEE T HUM-MACH SYST,39,0,4,2,2,1,2,1,2,6,4,15
94,2.704,IEEE T ULTRASON FERR,39,1,1,2,3,4,2,0,12,1,2,11
95,1.124,P I MECH ENG H,39,1,3,0,4,4,1,2,2,3,2,17
96,5.667,SENSOR ACTUAT B-CHEM,39,0,3,7,0,0,2,4,0,1,1,21
97,3.965,PATTERN RECOGN,38,0,4,5,4,2,5,2,5,0,4,7
98,,IEEE INT C BIOINFORM,37,1,4,1,3,2,1,3,1,2,1,18
99,,INT J BIOMED ENG TEC,37,0,0,2,5,4,3,2,5,1,4,11
100,1.916,J BIOMECH ENG-T ASME,37,0,4,2,2,1,3,2,3,3,2,15
101,4.215,NEURAL COMPUT APPL,37,0,1,1,0,1,2,4,4,1,0,23
102,4.927,HUM BRAIN MAPP,36,0,0,3,3,0,0,3,1,4,0,22
103,,BRAIN-COMPUT INTERFA,35,0,1,4,5,3,2,4,2,0,4,10
104,,HEALTHC TECHNOL LETT,35,1,2,5,2,3,3,4,2,1,1,11
105,1.568,J ELECTROMYOGR KINES,35,0,0,0,2,1,3,2,0,2,1,24
106,,IRAN C ELECTR ENG,34,0,0,0,2,1,1,2,5,2,4,17
107,1.428,REV SCI INSTRUM,34,0,0,0,5,0,0,1,3,1,5,19
108,,TENCON IEEE REGION,34,3,2,1,1,2,3,1,2,1,1,17
109,1.649,COMPUT INTEL NEUROSC,33,0,1,5,4,4,4,2,1,1,4,7
110,,LECT NOTES COMPUT SC,33,0,1,5,4,3,7,1,1,3,2,6
111,2.703,BRAIN TOPOGR,32,0,1,0,1,0,0,2,0,0,4,24
112,1.605,J ACOUST SOC AM,32,1,0,0,2,0,4,3,1,1,0,20
113,1.643,SIGNAL IMAGE VIDEO P,31,0,0,1,1,0,4,3,5,4,0,13
114,5.609,ADV HEALTHC MATER,30,0,2,2,0,3,4,2,2,0,0,15
115,7.616,ELIFE,30,0,1,3,1,0,1,2,0,1,1,20
116,,IEEE ANTENNAS PROP,30,1,2,2,1,3,8,3,2,0,0,8
117,,IEEE INT CONF AUTOMA,30,0,6,5,4,3,0,6,0,1,1,4
118,2.974,PERVASIVE MOB COMPUT,30,0,1,2,1,0,5,2,3,3,0,13
119,,SER BIOENG,30,0,1,0,1,3,3,3,1,0,4,14
120,,ELS MIC SOC BOOK SER,29,1,2,0,4,2,6,2,4,1,3,4
121,2.824,HEARING RES,29,0,1,1,0,1,0,2,0,2,0,22
122,1.467,IEEE T MAGN,29,0,2,3,2,3,1,1,2,0,0,15
123,2.311,SENSOR ACTUAT A-PHYS,29,0,2,3,3,2,2,2,2,0,1,12
124,,2017 4 INT C SIGNXB,28,0,0,1,1,0,0,1,0,1,0,24
125,,2017 CHIN AUT C CAXB,28,1,3,0,0,1,3,0,2,2,1,15
126,1.088,BIOMED ENG-BIOMED TE,28,0,0,0,1,4,2,1,3,1,0,16
127,2.158,IEEE T NANOBIOSCI,28,0,1,7,1,3,4,3,2,0,1,6
128,1.452,JPN J APPL PHYS,28,0,2,2,2,0,0,1,2,1,0,18
129,1.685,MEAS SCI TECHNOL,28,0,2,2,0,0,4,2,3,3,0,12
130,2.077,BIOMED MICRODEVICES,27,1,0,0,0,3,0,1,0,1,0,21
131,,IEEE INT SYMP CIRC S,27,0,6,3,1,3,0,0,1,1,1,11
132,2.864,J COMPUT PHYS,27,0,0,1,1,0,3,5,1,1,0,15
133,3.470,SIGNAL PROCESS,27,0,0,1,1,2,1,1,2,0,2,17
134,1.200,WIRELESS PERS COMMUN,27,0,0,1,4,3,1,1,3,0,4,10
135,,BIOMED ENG-APP BAS C,26,0,0,0,1,4,0,3,0,0,1,17
136,,2017 2 IEEE INT CXB,25,0,1,1,1,3,2,0,1,0,0,16
137,,2017 IEEE 19 INT CXB,25,1,4,2,0,1,8,0,2,1,0,6
138,2.435,COMPUT MED IMAG GRAP,25,1,1,1,6,0,4,3,7,0,0,2
139,3.355,J R SOC INTERFACE,25,1,1,2,0,2,2,3,1,1,3,9
140,,LECT NOTES ELECTR EN,25,0,0,1,1,0,1,0,3,2,0,17
141,2.638,ROBOT AUTON SYST,25,0,0,1,1,2,3,1,1,1,2,13
142,2.450,J CLIN MONIT COMPUT,24,0,0,2,2,4,3,1,2,1,1,8
143,,2017 5 INT C EL ENXB,23,0,0,1,1,2,1,0,0,2,0,16
144,8.097,ACS APPL MATER INTER,23,0,2,4,4,1,3,3,0,0,1,5
145,2.213,BMC BIOINFORMATICS,23,3,3,4,2,1,1,2,2,1,0,4
146,5.874,IEEE INTERNET THINGS,23,0,1,2,0,2,2,2,0,1,1,12
147,1.869,IEEE T HAPTICS,23,0,4,0,4,0,4,0,1,0,0,10
148,4.305,INFORM SCIENCES,23,0,4,3,3,2,2,0,3,0,1,5
149,2.396,INT J FUZZY SYST,23,0,0,0,1,3,3,4,1,0,3,8
150,1.946,INVERSE PROBL,23,0,1,1,1,0,0,0,0,1,0,19
151,,NAT BIOMED ENG,23,0,2,2,5,1,2,2,0,2,0,7
152,,P ASM INT MECH ENGXB,23,0,2,0,1,4,0,1,0,1,1,13
153,3.955,PLOS COMPUT BIOL,23,1,5,0,1,0,0,2,2,0,0,12
154,3.118,PSYCHOPHYSIOLOGY,23,0,0,0,1,0,0,0,1,1,1,19
155,,SPRINGER THESES-RECO,23,0,0,10,1,1,1,0,0,1,2,7
156,,2017 19 INT C SOLXB,22,0,2,0,0,0,1,1,1,2,0,15
157,4.264,IEEE T ROBOT,22,0,3,0,1,7,5,1,1,0,1,3
158,,MIDWEST SYMP CIRCUIT,22,1,2,4,2,1,1,4,1,0,0,6
159,2.284,PHYS REV E,22,0,1,0,0,0,0,1,0,3,0,17
160,,PROCEDIA COMPUT SCI,22,0,1,1,3,2,2,0,1,2,1,9
161,1.256,SYMMETRY-BASEL,22,0,0,1,2,4,1,2,1,2,2,7
162,3.907,APPL SOFT COMPUT,21,0,0,0,0,3,3,0,4,1,0,10
163,8.173,BIOSENS BIOELECTRON,21,0,0,4,3,2,0,1,0,1,0,10
164,,BRAIN SCI,21,1,1,3,1,0,0,0,0,0,1,14
165,1.998,CIRC SYST SIGNAL PR,21,0,0,0,1,1,1,2,1,0,0,15
166,1.250,IET SIGNAL PROCESS,21,0,0,2,0,3,1,2,3,1,0,9
167,2.868,INT J PSYCHOPHYSIOL,21,0,1,1,0,0,0,1,0,2,1,15
168,,INT REV PSYCHIATR,21,0,0,1,0,1,0,1,0,0,1,17
169,2.176,J APPL PHYS,21,0,2,3,1,1,0,2,0,2,1,9
170,3.256,J APPL PHYSIOL,21,1,1,1,0,1,0,0,1,1,0,15
171,,TECHNOLOGIES,21,1,1,1,4,2,1,1,0,0,0,10
172,13.325,ADV FUNCT MATER,20,0,0,0,0,2,0,1,0,0,1,16
173,3.495,APPL PHYS LETT,20,1,0,0,2,3,4,1,0,1,1,7
174,1.806,EXP BRAIN RES,20,0,0,1,0,0,4,2,0,0,0,13
175,,IEEE C IMAGING SY,20,0,0,5,0,1,1,0,2,0,0,11
176,,IEEE T COMPUT IMAG,20,0,2,1,2,2,2,1,3,0,1,6
177,2.950,IEEE-ACM T AUDIO SPE,20,1,0,0,2,0,2,1,1,2,3,8
178,1.336,IET SCI MEAS TECHNOL,20,0,0,2,0,0,1,1,0,1,1,14
179,,INN NEURXB,20,0,0,1,2,0,0,1,1,1,0,14
180,,J PHYS CONF SER,20,0,0,0,1,1,2,0,0,0,2,14
181,2.716,JARO-J ASSOC RES OTO,20,0,0,0,2,0,0,1,0,4,1,12
182,1.500,MATH BIOSCI,20,0,0,0,0,0,4,2,2,0,0,12
183,2.496,MUSCLE NERVE,20,0,0,0,0,2,0,1,0,0,0,17
184,,2017 INT C EL ADVXB,19,0,1,2,3,1,1,1,2,0,1,7
185,9.727,ACTA NUMER,19,0,0,1,0,0,2,1,1,0,1,13
186,4.441,COMPUT METHOD APPL M,19,0,1,1,1,1,4,0,0,2,0,9
187,0.299,CURR MED IMAGING REV,19,0,1,2,2,2,2,2,0,4,0,4
188,1.774,IEEE T DIELECT EL IN,19,0,0,5,0,1,2,3,1,2,0,5
189,7.982,IEEE T NEUR NET LEAR,19,0,3,1,1,2,1,1,0,2,1,7
190,,INT C WEARAB IMPL,19,0,4,3,1,1,1,1,1,1,0,6
191,,INT J ADV COMPUT SC,19,0,1,2,0,5,2,2,1,2,0,4
192,1.029,INT J PATTERN RECOGN,19,0,1,1,0,2,5,2,1,0,1,6
193,1.426,J INTELL FUZZY SYST,19,0,0,3,2,0,1,1,3,2,0,7
194,1.888,J MICROMECH MICROENG,19,0,0,5,1,2,2,2,2,0,0,5
195,5.971,J NEUROSCI,19,0,0,0,0,0,0,0,0,1,0,18
196,1.581,MICROSYST TECHNOL,19,0,1,0,0,2,2,1,0,2,0,11
197,3.356,OPT EXPRESS,19,0,1,0,3,0,1,1,2,0,2,9
198,0.580,TURK J ELECTR ENG CO,19,0,0,0,0,1,0,1,1,1,2,13
199,,2017 IEEE INT C CYXB,18,3,0,0,2,1,0,4,1,1,1,5
200,0.590,APPL COMPUT ELECTROM,18,0,1,0,0,0,2,0,0,1,3,11
201,2.435,APPL ERGON,18,0,0,0,1,0,1,0,2,2,0,12
202,2.000,BIOELECTROMAGNETICS,18,0,0,1,1,1,1,0,0,0,0,14
203,3.212,BIOMECH MODEL MECHAN,18,0,1,4,0,0,3,1,3,2,2,2
204,1.863,CLIN BIOMECH,18,0,0,0,0,0,0,1,0,0,2,15
205,3.448,IEEE ANTENN WIREL PR,18,1,1,0,1,2,1,2,1,1,0,8
206,,IEEE INT WORKS MACH,18,0,1,1,2,0,1,2,1,0,2,8
207,,IOP C SER-MAT SCI,18,0,1,0,2,1,0,0,2,3,1,8
208,5.995,LAB CHIP,18,0,3,2,0,2,0,1,0,1,0,9
209,2.222,MICROMACHINES-BASEL,18,1,1,2,1,3,2,1,2,0,0,5
210,2.132,PHYSICA A,18,0,1,1,1,0,3,0,2,1,1,8
211,,ROUTL STUD NEW MEDIA,18,1,0,0,3,1,2,3,0,2,0,6
212,2.377,ULTRASONICS,18,0,0,0,3,2,1,0,4,0,2,6
213,,2017 IEEEACM 2 INTXB,17,0,0,0,1,3,4,2,3,1,0,3
214,3.582,FRONT AGING NEUROSCI,17,0,0,2,1,1,0,1,2,2,0,8
215,6.812,IEEE T POWER ELECTR,17,0,2,1,1,0,1,0,0,0,3,9
216,,IEEE-CAA J AUTOMATIC,17,0,0,0,1,2,2,2,1,1,1,7
217,,INT J BIOMED IMAGING,17,0,0,1,3,2,1,2,1,0,0,7
218,1.421,J ELECTROCARDIOL,17,0,0,0,1,0,1,1,0,0,0,14
219,1.136,J INNOV OPT HEAL SCI,17,0,0,1,3,1,3,1,3,0,1,4
220,1.184,JOVE-J VIS EXP,17,0,1,1,1,2,0,1,1,0,0,10
221,,LECT N BIOINFORMAT,17,0,1,0,2,2,2,0,0,0,1,9
222,7.197,NEURAL NETWORKS,17,0,0,0,1,0,3,1,1,2,1,8
223,3.869,NEUROIMAGE-CLIN,17,1,1,1,3,0,0,2,0,0,1,8
224,3.382,NEUROSCIENCE,17,0,0,1,0,1,2,1,1,0,0,11
225,9.504,P NATL ACAD SCI USA,17,0,1,1,1,1,0,1,0,1,0,11
226,24.014,PHYSIOL REV,17,0,0,1,0,0,0,1,0,1,1,13
227,8.806,BIOMATERIALS,16,0,1,1,0,1,0,3,0,0,0,10
228,4.728,CIRC-ARRHYTHMIA ELEC,16,5,0,0,0,1,0,1,3,1,0,5
229,,COMP MED SY,16,0,0,0,2,0,4,1,0,1,3,5
230,5.072,IEEE T IMAGE PROCESS,16,0,1,0,0,3,0,0,1,1,1,9
231,3.768,J BIOPHOTONICS,16,0,1,0,3,0,0,2,1,1,0,8
232,,J VOICE,16,0,0,0,1,0,0,2,0,0,0,13
233,,P ASM 9 ANN DYNXB,16,0,0,0,1,1,1,1,0,0,0,12
234,1.954,PATTERN RECOGN LETT,16,0,0,2,2,2,1,1,1,0,0,7
235,,RES J PHARM BIOL CHE,16,0,1,1,2,1,2,2,0,1,0,6
236,,2017 IEEE INT C INXB,15,0,3,1,1,1,0,0,0,0,1,8
237,,2017 MED TECHN NATXB,15,1,1,2,1,1,1,1,0,0,2,5
238,0.961,ADV ROBOTICS,15,0,0,1,0,0,1,0,0,0,2,11
239,6.042,ANAL CHEM,15,0,1,3,0,0,0,3,0,0,0,8
240,3.463,ANESTH ANALG,15,0,2,1,1,2,1,1,1,0,0,6
241,3.479,COGN COMPUT,15,0,0,1,0,2,1,2,1,1,0,7
242,1.829,COMPLEXITY,15,1,1,0,0,2,0,4,0,2,1,4
243,2.110,ELECTRONICS-SWITZ,15,1,3,2,0,2,0,1,1,0,0,5
244,3.074,FRONT NEUROINFORM,15,0,1,1,3,0,1,0,1,2,2,4
245,,IEEE ASME INT C ADV,15,0,0,1,2,1,4,0,1,0,0,6
246,3.667,IEEE T AUTOM SCI ENG,15,0,0,1,2,1,1,0,1,0,0,9
247,8.415,IEEE T FUZZY SYST,15,0,0,1,0,2,0,4,2,0,0,6
248,1.661,INT J PRECIS ENG MAN,15,0,0,2,0,2,2,0,1,1,2,5
249,0.897,IRBM,15,1,0,0,0,0,1,2,0,2,0,9
250,,ISTANB UNIV-J ELECTR,15,0,1,0,0,0,2,0,1,1,0,10
251,1.925,J COMPUT SCI-NETH,15,0,0,0,0,1,2,2,1,0,0,9
252,1.381,J X-RAY SCI TECHNOL,15,0,2,0,0,1,2,0,0,0,3,7
253,2.564,MAGN RESON IMAGING,15,0,2,1,2,2,2,1,1,2,0,2
254,2.774,NEUROMODULATION,15,0,2,2,0,0,2,0,0,0,0,9
255,4.129,NEUROPHOTONICS,15,2,0,2,1,0,0,1,2,0,1,6
256,3.031,NMR BIOMED,15,0,0,0,0,4,0,0,1,2,0,8
257,,PROG ELECTROMA RES M,15,0,0,2,0,0,0,0,1,0,1,11
258,0.719,TECHNOL HEALTH CARE,15,0,0,2,0,0,1,0,0,2,1,9
259,0.869,WIREL COMMUN MOB COM,15,1,1,3,2,4,2,1,0,0,0,1
260,,2017 20 INT C INFXB,14,0,0,0,3,2,1,1,1,1,1,4
261,,2017 IEEE WORLDXB,14,0,2,0,3,2,1,0,0,0,0,6
262,13.709,ACS NANO,14,0,0,0,1,3,0,1,2,0,0,7
263,,BIOM IM SEGM ADVXB,14,0,0,1,0,2,7,0,1,2,1,0
264,6.120,BRAIN STIMUL,14,0,2,1,1,0,1,1,0,0,3,5
265,1.321,CHINESE PHYS B,14,0,2,1,0,1,0,1,1,0,2,6
266,3.181,COMMUN NONLINEAR SCI,14,0,0,0,0,0,1,2,0,4,1,6
267,0.489,COMPUT ASSIST SURG,14,0,0,2,0,3,1,0,1,1,0,6
268,2.241,DIGIT SIGNAL PROCESS,14,0,0,2,0,1,1,0,1,0,1,8
269,2.813,IEEE SIGNAL PROC LET,14,1,0,1,0,0,0,3,0,2,1,6
270,1.520,IEEE T ELECTROMAGN C,14,0,2,2,0,0,2,0,1,0,0,7
271,2.857,IEEE T NANOTECHNOL,14,0,1,2,2,1,0,1,0,0,1,6
272,1.401,IET IMAGE PROCESS,14,0,0,2,1,2,2,1,2,2,1,1
273,1.390,J APPL BIOMECH,14,0,0,1,0,1,1,0,0,0,2,9
274,0.412,J MED DEVICES,14,0,1,1,2,1,0,1,0,0,1,7
275,3.414,J ORTHOP RES,14,0,0,0,1,0,1,1,0,1,0,10
276,8.037,NEUROSCI BIOBEHAV R,14,0,0,2,0,0,0,0,1,0,0,11
277,1.191,OPTIK,14,0,0,0,0,0,2,2,1,1,1,7
278,2.504,ROY SOC OPEN SCI,14,0,1,0,1,1,0,0,1,0,0,10
279,2.115,AEU-INT J ELECTRON C,13,0,0,0,0,1,1,2,1,1,0,7
280,2.000,COGN NEURODYNAMICS,13,0,0,2,0,2,2,2,1,1,2,1
281,2.850,COMPUT IND,13,0,6,2,0,3,0,0,1,0,0,1
282,5.067,EPILEPSIA,13,0,2,0,2,1,2,1,0,0,0,5
283,,FACTA UNIV-SER ELECT,13,0,1,1,0,1,2,0,0,0,1,7
284,,FRONT ROBOT AI,13,0,1,0,1,0,1,0,0,2,0,8
285,,HEALTH TECHNOL-GER,13,0,0,2,1,2,0,1,1,1,0,5
286,3.007,IEEE ANTENN PROPAG M,13,0,1,1,1,0,1,0,0,0,1,8
287,,INT C COMPUT,13,0,0,2,3,4,0,0,1,1,2,0
288,1.423,INT J IMAG SYST TECH,13,0,0,0,1,5,0,0,1,1,0,5
289,,INT J INTELL ENG INF,13,0,0,0,1,0,3,0,0,1,1,7
290,,INT J SPEECH TECHNOL,13,0,0,0,0,0,0,1,3,3,0,6
291,1.194,J MECH SCI TECHNOL,13,0,1,1,1,0,0,3,0,1,1,5
292,1.949,LASER MED SCI,13,0,0,0,0,0,1,2,3,0,0,7
293,2.423,MECHATRONICS,13,1,2,0,1,2,0,2,1,2,0,2
294,4.291,MED SCI SPORT EXER,13,0,0,0,0,0,0,1,0,1,3,8
295,2.182,OTOL NEUROTOL,13,0,0,0,0,2,1,5,0,0,0,5
296,,PROC ASME DES ENG TE,13,0,1,1,0,1,0,0,1,0,0,9
297,,SIG P ALGO ARCH ARR,13,0,0,0,0,1,2,2,0,0,2,6
