Journal Profile: PLoS One,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile
2017,"582,878",2.766,2.599,3.352,0.405,"20,328",4.3,8.2,1.862,1.000,97.99,217.45100,77.34400
2016,"508,248",2.806,2.614,3.394,0.429,"22,077",3.7,8.1,1.92176,1.053,98.24,220.54971,77.34400
2015,"425,015",3.057,2.775,3.535,0.396,"28,114",3.1,7.9,1.81369,1.137,99.13,206.72475,83.33300
2014,"332,716",3.234,2.885,3.702,0.489,"30,040",2.7,7.7,1.53341,1.209,99.12,171.74246,85.08800
2013,"226,708",3.534,3.053,4.015,0.416,"31,496",2.5,7.4,1.16582,1.370,99.15,128.49641,86.36400
2012,"133,246",3.730,3.228,4.244,0.407,"23,406",2.4,7.1,0.77844,1.545,99.45,Not Available,88.39300
2011,"75,544",4.092,3.666,4.537,0.437,"13,781",2.4,6.8,0.50162,1.798,99.46,Not Available,86.47100
2010,"42,795",4.411,4.105,4.610,0.515,"6,714",2.1,6.5,0.31957,1.941,99.52,Not Available,86.62800
2009,"20,466",4.351,4.001,4.383,0.582,"4,263",1.7,6.4,0.16359,1.921,99.86,Not Available,87.50000
Copyright Â© 2018 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
