Journal Profile: Journal of Neural Engineering,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile
2017,"5,551",3.920,3.398,4.220,0.805,149,5.4,7.5,0.01,1.023,94.63,1.13800,78.73900
2016,"4,693",3.465,2.940,4.093,0.494,166,5.2,7.4,0.01155,1.152,92.77,1.32607,73.95600
2015,"3,789",3.493,3.135,3.859,0.654,104,4.6,8.1,0.01345,1.407,97.12,1.53256,77.44100
2014,"3,270",3.295,2.740,3.743,0.752,137,3.9,6.9,0.00982,1.080,99.27,1.10036,71.37600
2013,"2,716",3.415,2.792,3.775,0.540,137,4.0,7.3,0.00797,0.999,97.08,0.87859,74.00800
2012,"2,308",3.282,2.813,4.049,0.667,117,3.8,7.2,0.00932,1.241,100.00,Not Available,73.21600
2011,"1,776",3.837,3.040,4.434,0.640,172,4.1,6.9,0.00646,1.159,96.51,Not Available,83.65800
2010,"1,045",2.628,2.231,Not Available,0.536,69,3.7,6.9,0.00615,Not Available,100.00,Not Available,62.67300
2009,997,3.739,3.234,Not Available,0.410,78,3.3,6.5,0.00616,Not Available,96.15,Not Available,81.57600
2008,658,2.737,2.491,Not Available,0.721,43,2.9,7.4,0.00471,Not Available,100.00,Not Available,65.52600
Copyright Â© 2018 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
